task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
40	3a/a3efae	nf-3aa3efae-1683584802861/nf-3aa3efae-168358-e14b2fd7-fbc5-4e280	FASTQC (AD034-42_S23_L002)	ABORTED	-	2023-05-08 17:27:19.954	-	-	-	-	-	-	-
41	fb/d24151	nf-fbd24151-1683584802885/nf-fbd24151-168358-2b3c2ae3-603d-45c70	FASTQC (AD035-22_S31_L001)	ABORTED	-	2023-05-08 17:27:20.693	-	-	-	-	-	-	-
39	be/ebdfbc	nf-beebdfbc-1683584802962/nf-beebdfbc-168358-f62682d4-bff9-49bd0	BBMAP_BBDUK (AD034-42_S23_L002)	ABORTED	-	2023-05-08 17:27:21.443	-	-	-	-	-	-	-
42	d8/7df1fb	nf-d87df1fb-1683584802997/nf-d87df1fb-168358-6230c9f7-897f-42290	BBMAP_BBDUK (AD035-22_S31_L001)	ABORTED	-	2023-05-08 17:27:22.172	-	-	-	-	-	-	-
44	68/a50cda	nf-68a50cda-1683584803001/nf-68a50cda-168358-f99725eb-17ae-4cb60	FASTQC (AD035-22_S31_L002)	ABORTED	-	2023-05-08 17:27:22.969	-	-	-	-	-	-	-
43	59/4cc74b	nf-594cc74b-1683584803050/nf-594cc74b-168358-e27ce254-2dd1-40f60	BBMAP_BBDUK (AD035-22_S31_L002)	ABORTED	-	2023-05-08 17:27:23.736	-	-	-	-	-	-	-
45	9f/af658f	nf-9faf658f-1683584803124/nf-9faf658f-168358-c9f326d5-d6c1-4b2a0	FASTQC (AD035-32_S15_L001)	ABORTED	-	2023-05-08 17:27:24.470	-	-	-	-	-	-	-
46	dd/0cf2fe	nf-dd0cf2fe-1683584803175/nf-dd0cf2fe-168358-3b43b090-f51b-40de0	BBMAP_BBDUK (AD035-32_S15_L001)	ABORTED	-	2023-05-08 17:27:25.427	-	-	-	-	-	-	-
47	9e/5ea089	nf-9e5ea089-1683584803184/nf-9e5ea089-168358-6ed98d57-e061-4e8e0	FASTQC (AD035-32_S15_L002)	ABORTED	-	2023-05-08 17:27:26.245	-	-	-	-	-	-	-
48	80/c8711c	nf-80c8711c-1683584803189/nf-80c8711c-168358-8a644215-4c1c-49ac0	BBMAP_BBDUK (AD035-32_S15_L002)	ABORTED	-	2023-05-08 17:27:27.000	-	-	-	-	-	-	-
49	47/3b676f	nf-473b676f-1683584803281/nf-473b676f-168358-2bf8ee87-f777-43a30	BBMAP_BBDUK (AD037-42_S33_L001)	ABORTED	-	2023-05-08 17:27:27.912	-	-	-	-	-	-	-
50	ea/176a66	nf-ea176a66-1683584803345/nf-ea176a66-168358-a1ddf479-41ab-41940	FASTQC (AD037-42_S33_L001)	ABORTED	-	2023-05-08 17:27:28.712	-	-	-	-	-	-	-
51	0b/d1f62a	nf-0bd1f62a-1683584803395/nf-0bd1f62a-168358-6bdbe620-b875-4e8f0	FASTQC (AD037-42_S33_L002)	ABORTED	-	2023-05-08 17:27:29.497	-	-	-	-	-	-	-
53	08/9fee53	nf-089fee53-1683584803511/nf-089fee53-168358-6072adea-332d-41030	FASTQC (AD039-42_S26_L001)	ABORTED	-	2023-05-08 17:27:30.213	-	-	-	-	-	-	-
54	d5/4e5db8	nf-d54e5db8-1683584803547/nf-d54e5db8-168358-dba65b7a-ff96-46420	BBMAP_BBDUK (AD039-42_S26_L001)	ABORTED	-	2023-05-08 17:27:30.965	-	-	-	-	-	-	-
52	d0/78b4f9	nf-d078b4f9-1683584803570/nf-d078b4f9-168358-6c69f8fe-f8e0-425c0	BBMAP_BBDUK (AD037-42_S33_L002)	ABORTED	-	2023-05-08 17:27:31.757	-	-	-	-	-	-	-
55	40/66629b	nf-4066629b-1683584803678/nf-4066629b-168358-5867389f-4ce0-49fb0	BBMAP_BBDUK (AD039-42_S26_L002)	ABORTED	-	2023-05-08 17:27:32.542	-	-	-	-	-	-	-
56	ae/89ab3e	nf-ae89ab3e-1683584803751/nf-ae89ab3e-168358-40fb2523-41a1-4bc40	FASTQC (AD039-42_S26_L002)	ABORTED	-	2023-05-08 17:27:33.337	-	-	-	-	-	-	-
57	39/e03866	nf-39e03866-1683584803761/nf-39e03866-168358-cc195b42-4730-43b70	FASTQC (AD041-32_S10_L001)	ABORTED	-	2023-05-08 17:27:34.166	-	-	-	-	-	-	-
60	e4/ad7b31	nf-e4ad7b31-1683584803896/nf-e4ad7b31-168358-c2b4aaba-7682-44ed0	FASTQC (AD041-32_S10_L002)	ABORTED	-	2023-05-08 17:27:34.886	-	-	-	-	-	-	-
58	68/6c1d21	nf-686c1d21-1683584803902/nf-686c1d21-168358-032e51a6-b209-4fba0	BBMAP_BBDUK (AD041-32_S10_L001)	ABORTED	-	2023-05-08 17:27:35.841	-	-	-	-	-	-	-
61	8a/f7e7a8	nf-8af7e7a8-1683584803946/nf-8af7e7a8-168358-bc8a3df3-92ff-4d9a0	FASTQC (AD042-22_S8_L001)	ABORTED	-	2023-05-08 17:27:36.639	-	-	-	-	-	-	-
59	b4/4ebf91	nf-b44ebf91-1683584803948/nf-b44ebf91-168358-197aa466-2bcb-46c70	BBMAP_BBDUK (AD041-32_S10_L002)	ABORTED	-	2023-05-08 17:27:37.366	-	-	-	-	-	-	-
62	bf/7fc13c	nf-bf7fc13c-1683584804096/nf-bf7fc13c-168358-4bff5694-0ecd-44ba0	BBMAP_BBDUK (AD042-22_S8_L001)	ABORTED	-	2023-05-08 17:27:38.019	-	-	-	-	-	-	-
64	70/694f3a	nf-70694f3a-1683584804123/nf-70694f3a-168358-8b4f63e3-04f2-42a90	BBMAP_BBDUK (AD042-22_S8_L002)	ABORTED	-	2023-05-08 17:27:39.466	-	-	-	-	-	-	-
63	e4/fa395b	nf-e4fa395b-1683584804139/nf-e4fa395b-168358-e6761299-e503-42f20	FASTQC (AD042-22_S8_L002)	ABORTED	-	2023-05-08 17:27:40.370	-	-	-	-	-	-	-
